Scene. ^np+++??+=Scene.--The
bunnet ^nn+++??+=bunnet
all ^abn++++=all
trimmed ^jj+++xvbn+=trimmed
up ^rb+phrv+++=up
with ^in+ppvb+++=with
white ^jj+atrb+++=white
ribbins ^nns+++??+=ribbins;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
fellows ^nns++++=fellows
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
doctor ^nn++++=doctor
had ^vbd+hvd+aux++=had
stole ^vprf+++xvbnx+=stole
a ^at++++=a
march ^nn++++=march,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
the ^ati++++=the
handsomest ^jjt+atrb+++=handsomest
gal ^nn++++=gal
in ^in++++=in
the ^ati++++=the
parish ^nn++++=parish.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
arter ^jjr+atrb+++=arter
meetin ^nn+++??+=meetin'
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
all ^abn++++=all
come ^vb++++=come
' ^zz++++='round
round ^in++++=EXTRAWORD
the ^ati++++=the
parson ^nn++++=parson
and ^cc++++=and
Huldy ^np+++??+=Huldy
at ^in++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
shakin ^nn+++??+=shakin'
' ^zz++++=EXTRAWORD
hands ^nns++++=hands
and ^cc++++=and
laugh-in ^nn+++??+=laugh-in';
'; ^nn+++??+=EXTRAWORD
for ^in++++=for
by ^in++++=by
that ^dt+dem+++=that
time ^nn++++=time
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
about ^in++++=about
agreed ^vbd+vpub++xvbn+=agreed
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
got ^vprf++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
let ^vb+++xvbn+=let
putty ^nn++++=putty
well ^rb++++=well
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
" ^zz++++="'Why,
' ^zz++++=EXTRAWORD
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Deakin ^np+++??+=Deakin
Blod ^np+++??+=Blod-gett,
- ^zz++++=EXTRAWORD
gett ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='how
how ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come
it ^pp3+it+++=it
over ^rp++++=over
us ^pp1o+pp1+++=us.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,'
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++0=o'
twinkle ^nn++++=twinkle
in ^in++++=in
his ^pp$+pp3+++=his
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='as
as ^ql++++=EXTRAWORD
folks ^nns++++=folks
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
talk ^vbi++++=talk
about ^in++++=about
Huldy ^np+++??+=Huldy
and ^cc++++=and
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
give ^vb++++=give
them ^pp3o+pp3+++='em
somethin ^nn++++=somethin'
' ^zz++++=EXTRAWORD
wuth ^nn++++=wuth
talkin ^nn++++=talkin'
' ^zz++++=EXTRAWORD
about. ^nn++++=about.'"
'" ^nn+++??+=EXTRAWORD
